dim-1,dim-2,outlier
44.966567,36.168523,false
62.352331,35.974802,false
-66.346038,24.355974,true
33.540574,49.544665,false
15.874430,64.925439,false
23.713694,18.754318,false
-79.966734,52.540629,true
19.929141,62.791151,false
35.628885,54.859053,false
20.484615,6.768290,false
136.852354,89.537104,true
47.194483,46.414189,false
58.006544,-80.376172,true
6.574835,43.085972,false
-139.169881,46.559170,true
50.563050,56.516069,false
34.745057,30.499229,false
58.132235,16.195914,false
34.354517,50.011474,false
22.198721,49.501332,false
35.389779,25.013313,false
22.991249,40.804853,false
56.072399,-120.982903,true
31.727984,27.339212,false
15.591266,18.534771,false
58.741322,47.444375,false
50.111821,39.186504,false
59.424430,46.961322,false
21.436354,43.480604,false
14.536220,8.697770,false
32.783380,11.773134,false
52.165270,55.134327,false
22.975830,33.513429,false
32.663027,46.236372,false
39.304161,38.418405,false
17.756349,61.965224,false
25.613527,13.438594,false
32.422462,57.271833,false
41.734550,40.436791,false
37.868586,42.717475,false
13.757951,48.941574,false
-159.481217,101.015193,true
7.746071,44.284833,false
49.326311,59.582684,false
17.432250,44.315593,false
28.892378,41.317926,false
15.640205,22.585948,false
6.574925,5.034340,false
14.680785,64.822170,false
15.322451,63.999867,false
60.154400,17.420473,false
55.269773,56.565437,false
14.562268,6.262055,false
22.227303,24.946320,false
38.547052,42.912491,false
21.936200,15.466968,false
48.396008,37.495935,false
13.137673,47.890716,false
17.062044,49.783874,false
121.477438,28.790001,true
24.409272,9.317954,false
13.852983,61.460370,false
8.838631,63.864665,false
34.739039,-126.377114,true
13.712847,62.509887,false
48.963292,50.791867,false
15.694138,13.941606,false
24.371146,32.356898,false
30.639716,45.239567,false
53.158231,39.719200,false
42.231614,35.878755,false
148.851787,56.757073,true
-104.859984,-96.251785,true
42.892744,60.284778,false
123.112866,79.721073,true
151.557571,-130.533892,true
58.708613,59.626016,false
27.642702,26.270057,false
59.055394,46.625958,false
22.848507,51.852569,false
7.093391,38.821174,false
8.455601,24.028107,false
41.693700,15.103857,false
57.677029,10.887368,false
45.204833,10.929524,false
58.779236,52.884561,false
15.878128,45.601579,false
59.269263,34.302392,false
59.293209,7.685379,false
18.500046,47.774718,false
27.584425,37.454584,false
37.033488,37.439555,false
17.072381,39.332564,false
6.251815,17.313410,false
42.966317,25.938560,false
49.712927,14.177264,false
63.448144,62.175078,false
19.611280,13.645519,false
22.952023,54.405676,false
14.045478,32.639563,false
13.052062,53.468669,false
51.581429,9.421931,false
33.864006,32.162816,false
41.672051,22.258366,false
54.002235,49.637597,false
56.067500,34.854073,false
45.091065,53.978849,false
8.884585,33.192604,false
53.424737,56.282395,false
6.630612,58.911953,false
52.179481,33.003728,false
32.198831,37.639666,false
8.984639,40.101095,false
43.356260,59.686786,false
46.568984,62.310620,false
60.790406,38.154199,false
27.753894,25.571124,false
59.095577,9.284846,false
13.524193,17.855058,false
24.936218,-94.646999,true
47.686850,52.988619,false
35.329380,55.736082,false
61.909966,7.379474,false
17.529876,13.544224,false
32.002550,16.644525,false
53.634889,42.900714,false
14.876192,40.523634,false
22.403777,49.222321,false
54.929626,42.653448,false
39.198449,57.635698,false
42.031990,52.022806,false
18.246303,31.369762,false
21.243692,46.818533,false
43.429483,47.033344,false
31.207836,24.648088,false
19.470697,19.962181,false
28.976801,12.466561,false
38.899488,50.409005,false
38.215752,61.057846,false
15.708302,39.410150,false
36.619193,12.240505,false
30.276523,55.073809,false
41.614205,42.904299,false
21.458444,28.015008,false
19.206235,18.653090,false
20.403660,18.627030,false
60.200293,35.019575,false
55.747151,20.028620,false
42.900661,-141.467363,true
9.097595,36.794001,false
51.395339,56.153087,false
13.342167,24.686719,false
44.119261,39.806385,false
55.732120,26.541964,false
23.525334,18.879762,false
49.452635,16.298089,false
33.915934,31.442975,false
54.212680,53.601851,false
62.412782,39.558947,false
63.872604,63.358928,false
43.822522,42.457960,false
18.117243,50.480029,false
59.766671,38.994880,false
61.548476,46.469147,false
39.721672,28.420389,false
33.071914,29.326239,false
44.162335,13.866739,false
55.658934,49.929537,false
23.532772,59.040167,false
14.415105,22.807056,false
30.477850,53.722206,false
28.779447,33.745074,false
43.219864,51.586146,false
62.737670,75.500911,true
15.349360,38.079834,false
57.532499,18.758287,false
92.606901,36.295319,true
16.520690,55.873093,false
45.311075,58.189520,false
8.979626,35.240812,false
7.593020,44.195575,false
11.663855,-151.871377,true
24.761676,5.005210,false
29.127461,34.957616,false
8.600222,21.356681,false
28.370106,6.975417,false
125.935729,156.591960,true
54.223032,56.807691,false
14.716780,29.596160,false
26.746710,54.496950,false
47.435262,43.200648,false
48.141967,48.175847,false
46.370788,27.520891,false
40.386470,42.358517,false
54.801783,15.053725,false
28.118333,50.708751,false
10.286789,57.890464,false
34.542165,44.337328,false
52.518246,39.688404,false
52.090099,31.246843,false
60.139144,44.925380,false
5.453338,64.202150,false
48.807720,40.369314,false
11.878646,38.682515,false
7.557390,60.812749,false
34.601484,47.621780,false
57.424883,44.614907,false
56.552109,9.594105,false
60.798408,31.543040,false
22.353938,36.957665,false
55.939322,51.899346,false
60.049271,56.175219,false
20.613957,63.673638,false
40.798693,36.532286,false
49.095546,36.790752,false
30.373344,37.666346,false
25.406311,15.943974,false
11.505774,52.228311,false
17.204400,16.814852,false
10.512238,12.846677,false
29.754350,19.901406,false
48.322837,61.180169,false
41.041329,19.702385,false
8.941889,40.255823,false
154.626096,89.577405,true
54.810709,50.486892,false
32.018077,38.917517,false
16.719809,56.090535,false
36.563478,22.589178,false
12.715673,60.257097,false
42.485611,38.943630,false
62.505359,9.092610,false
73.083339,67.089810,true
33.519306,154.305305,true
7.768480,55.341315,false
43.133035,36.397070,false
11.008550,55.828489,false
16.258894,59.820014,false
44.326631,43.965832,false
15.872206,42.413759,false
41.491166,-162.952903,true
9.556536,25.227153,false
23.709859,52.138955,false
21.394101,24.231831,false
17.917290,34.404836,false
11.616617,14.996513,false
22.715002,49.217101,false
48.480894,48.113163,false
9.663646,37.343362,false
24.462460,6.966647,false
29.417469,45.868244,false
53.345393,49.121775,false
23.383968,31.668493,false
-151.845259,-126.256657,true
49.214112,22.913828,false
45.174122,48.966602,false
