dim-1,dim-2
42.234030,19.098399
7.157639,38.359031
15.093536,37.880764
60.315563,38.328677
46.089969,5.027752
23.031700,22.381942
5.299731,26.882194
25.905290,13.389559
30.534512,19.012397
33.065792,9.406832
16.499577,64.852992
15.093485,-143.208347
-105.427737,-104.452281
7.732300,14.894932
59.858827,42.774909
105.323334,32.102325
29.822519,20.094609
33.640590,113.534608
59.356158,-147.471628
39.059191,11.864257
27.574170,52.710188
24.268765,45.609245
19.249545,31.100508
58.841256,29.982637
30.163929,46.368467
61.798632,47.862379
17.359072,23.082781
64.850885,5.853967
44.924549,52.285337
26.963201,45.457683
64.057951,23.723145
38.630310,18.562758
42.107700,47.853222
15.376170,37.962672
36.338999,54.365694
26.249522,45.035382
34.336061,58.941672
49.558786,42.154609
53.111812,16.661887
28.772231,53.412918
6.860422,34.945488
26.689012,50.755545
34.026780,49.959086
45.642171,24.535967
62.983841,36.812408
47.715058,63.375969
66.113711,-145.539817
33.038662,61.633933
25.380106,60.908938
60.197121,33.713656
7.025210,64.087628
50.135587,43.765748
38.385325,47.363593
60.744603,39.472959
46.628270,42.122943
32.554664,31.084169
34.190589,9.219956
17.767529,60.411072
79.047441,36.902427
8.262151,23.822276
63.577153,14.066912
51.603499,126.631118
63.887528,31.749859
22.822020,28.971400
36.647806,30.982587
30.530463,60.524635
60.261001,64.184214
64.872397,14.662560
9.591723,53.837144
41.362411,20.314839
29.246474,24.417577
27.663763,33.661312
27.205762,8.632050
35.602117,59.551182
9.474409,10.236797
32.294279,20.243307
20.775475,37.229967
10.157908,6.533464
21.041906,19.366379
49.931064,51.148007
149.305258,48.997732
10.349317,22.203121
36.161190,33.924046
62.863798,16.548900
21.347910,47.360805
32.850727,51.592018
53.523288,57.260122
54.448388,13.131649
38.977926,12.619314
8.767912,114.612231
62.320823,22.355253
44.578460,41.155977
62.764954,47.402000
22.747059,37.483817
27.554912,12.226908
54.139542,39.476399
52.048564,11.885818
21.194426,16.967999
15.539171,55.494126
26.457487,34.833062
50.949737,43.771629
36.196742,53.887085
45.051220,35.564415
-69.977581,-118.763789
40.430883,9.152516
17.834600,11.028700
17.415693,18.811773
39.050215,46.171619
63.792615,24.672434
25.822405,64.263300
55.542406,13.223799
-67.927543,154.269046
8.370891,36.440063
54.132150,42.476969
37.051294,17.672738
48.682721,40.469728
13.722286,55.222625
28.268546,51.217859
42.396721,-73.418171
14.641301,12.644497
43.652478,11.597008
18.128211,14.753077
63.536289,19.717725
22.067912,45.088838
8.922231,14.037194
31.862957,40.877152
25.755981,45.538710
37.742600,7.482016
36.397054,45.401763
52.490877,22.061553
49.108692,25.848955
-105.919954,136.020264
31.755859,17.382701
11.741745,18.197457
52.267414,51.251535
37.718328,23.551087
51.399181,107.859367
14.454857,43.971387
-134.635557,-119.054444
38.113406,60.324966
56.467280,62.960342
40.940956,61.331312
100.461480,156.955367
59.808373,12.515959
60.366805,45.907770
-114.487711,70.036513
49.424918,53.207473
20.416802,13.763421
5.538173,17.183718
29.946714,37.733367
64.244110,63.277406
5.469010,52.831358
34.066107,56.333436
54.309294,61.799899
12.833283,30.471397
125.697495,-109.900435
55.767061,9.105318
31.420361,47.814360
54.243405,56.004663
31.461979,13.581990
51.450404,7.779081
16.881422,56.784029
15.314970,5.071935
6.453519,26.543511
56.784041,42.085586
42.037935,26.077070
28.486658,55.124822
29.370326,62.175402
53.228747,46.610524
29.506853,61.452679
36.343561,23.143821
39.138296,22.498530
38.663421,52.601723
43.176405,44.060528
59.321761,20.347318
12.503666,9.263576
50.712521,35.958583
20.597105,48.427243
6.588494,8.522641
57.095544,11.487409
35.310608,19.693084
20.235743,16.162472
30.861402,5.327784
48.552139,36.098560
51.218098,31.526543
51.658906,26.279646
10.738381,23.966542
54.851159,24.303843
38.668994,34.233858
32.297613,27.623662
36.199410,36.473978
-138.547968,50.059915
12.316997,10.308594
36.347421,26.428016
22.656310,60.175427
53.460347,32.738360
27.782505,63.672735
61.411242,10.844063
70.242517,-81.061959
28.274542,64.971950
32.227591,18.366646
22.119824,54.115900
43.058041,19.947555
37.549532,23.340215
47.840175,20.998564
64.433426,20.452494
9.077838,31.778412
52.905058,10.428562
23.876715,37.032462
-136.138577,-69.310266
20.806189,32.539429
8.484339,22.119454
16.651791,18.729080
41.458952,17.833410
25.578112,10.540104
61.361776,58.177577
14.594432,48.695167
11.676440,22.205578
-74.796290,-156.772964
55.192482,30.114435
62.827516,47.214898
27.130292,16.309517
24.730517,36.979464
19.197444,63.047483
34.084791,26.986547
26.033274,24.567981
48.974299,91.256645
16.865643,50.829206
54.581454,27.223240
39.149100,24.634980
-74.712789,147.816335
34.800842,22.640440
56.717218,40.943594
45.994764,13.459265
27.666544,33.468721
64.761041,11.569068
22.064119,45.598846
23.335797,58.842914
15.289108,18.757411
15.773617,46.470405
52.710595,56.655530
12.986712,31.668603
39.236610,52.842495
8.255290,22.380340
46.689844,44.627834
15.250189,11.381241
58.819411,37.339100
32.427936,45.825289
5.619699,46.294525
10.986596,29.486260
18.382334,34.564908
30.776809,36.322084
