dim-1,dim-2,dim-3,outlier
14.648881,58.484477,34.426350,false
5.579139,58.906200,17.946375,false
45.566303,31.332544,38.622506,false
47.582363,23.270986,40.817967,false
53.800645,57.026313,15.112551,false
46.967229,54.340894,59.862512,false
26.421374,34.221898,34.116159,false
19.478574,29.435512,40.853546,false
63.519040,35.618844,32.224161,false
54.845635,14.880851,51.168775,false
23.477897,45.768602,37.385994,false
14.821194,22.812106,24.042813,false
60.624604,-136.732201,-140.747864,true
136.865604,91.223715,48.358935,true
29.898503,54.008201,46.288083,false
36.223834,17.767841,62.059156,false
8.250388,56.568463,45.459531,false
60.458077,38.474456,7.797549,false
6.178694,62.226676,51.288758,false
46.950703,10.980662,32.075951,false
49.007050,53.140815,60.167943,false
13.509347,18.700709,54.346308,false
28.314161,28.810318,11.110728,false
34.231914,11.203522,9.806011,false
63.407426,29.419237,12.036099,false
47.924846,53.753672,64.678810,false
22.489311,46.077587,16.128831,false
36.871520,36.501825,55.270982,false
38.840679,42.419483,20.742945,false
25.916390,48.638392,18.301797,false
53.548908,39.751641,23.152568,false
13.771190,43.675380,31.764290,false
52.966083,34.071966,25.227365,false
14.881514,26.661943,61.007770,false
28.258123,34.431209,15.200275,false
12.019997,36.550118,18.944118,false
14.661912,62.949166,30.826802,false
63.343534,36.981144,27.395836,false
8.018904,61.882766,46.428714,false
39.183215,41.260130,22.615298,false
39.972382,35.995048,60.696301,false
43.509679,48.765404,42.607964,false
42.312357,61.464779,58.467860,false
24.619444,54.097822,60.297407,false
53.621687,49.868186,7.592223,false
13.488315,22.947829,50.471434,false
59.347704,29.918641,16.828624,false
33.951081,61.999079,61.497131,false
85.101560,-142.779428,7.912473,true
11.224883,45.569769,57.628127,false
-105.091606,36.277563,139.057514,true
22.876117,18.867365,45.731618,false
16.583992,58.719573,39.190975,false
7.093803,139.643570,56.110956,true
40.309191,22.748442,13.102880,false
31.445523,41.653883,12.409116,false
31.538029,18.484722,60.032520,false
15.363710,9.760252,33.513585,false
25.722737,25.834738,35.832854,false
5.726821,49.818115,23.789006,false
10.265991,30.734946,43.478158,false
33.840316,-159.091747,78.526523,true
39.941905,33.610242,64.297774,false
37.914289,58.203360,16.732848,false
