dim-1,dim-2,dim-3
47.516930,20.670930,16.679194
19.845298,40.515388,8.198814
12.452382,33.986523,52.300984
33.763922,38.703006,46.663204
45.646595,56.259325,53.591350
44.133832,61.584581,43.172107
29.949347,79.955997,-112.535917
28.569359,17.643985,7.713827
15.410736,31.818727,22.744973
60.738714,12.504524,48.168497
52.552556,63.171623,23.132162
19.363880,12.758496,36.128297
29.100016,27.602916,35.601893
46.271002,7.389167,63.296464
20.080100,55.189153,52.882723
5.124940,26.740559,30.653958
53.808710,10.817392,42.531985
24.400754,38.349473,13.692149
28.367002,44.040519,45.588797
53.456667,24.374410,57.482213
47.289778,8.176433,30.385604
45.219003,42.215031,15.113898
13.118981,24.232807,11.420023
8.984975,31.139236,22.432307
51.988773,-65.962541,55.625661
50.774779,32.029968,58.077946
63.213506,59.030296,45.223685
52.013918,15.122463,22.819191
12.463044,16.511109,14.058654
50.902771,54.765484,38.349218
60.809865,47.573639,9.621066
30.388090,15.198743,24.578149
43.919056,45.110676,44.832678
36.859893,56.954741,58.283689
52.402767,64.740937,51.008257
9.837692,63.211905,43.232464
54.699207,34.521786,21.975726
46.619980,10.389552,21.226857
44.115569,54.191761,33.310431
42.157345,16.506270,58.418875
25.468964,51.745692,24.999037
49.154045,20.425588,56.917232
15.990165,53.456577,36.709806
61.649354,9.062303,49.299609
29.261379,43.454272,38.380427
23.843226,32.213591,55.123330
33.731123,64.662752,21.313442
26.488145,18.114093,16.491317
7.093762,43.699132,31.362436
40.460779,42.624745,21.810056
54.124804,45.148337,20.866527
-80.800046,113.792796,58.770800
32.578152,7.860888,37.781936
25.596455,27.752158,48.675902
58.711184,22.727957,55.490336
21.678892,40.046011,29.139636
45.074909,26.018177,14.858637
50.763642,28.971927,14.306949
28.265119,46.404874,13.557702
57.174363,64.205497,13.480905
18.883171,9.848099,22.366079
53.043190,122.136647,77.304974
21.887713,45.680725,57.010663
-71.874830,33.192420,-137.874043
33.944769,57.004666,20.725986
26.256603,50.570624,61.891025
46.682937,58.622433,24.564020
11.581753,34.053252,51.773789
17.505157,8.572149,27.901124
25.372799,64.152286,39.270146
13.609157,32.316607,28.147066
28.110246,18.931822,11.202118
56.171320,13.197055,27.848967
107.378115,-132.416141,6.891280
44.596550,28.911474,18.606355
63.368313,51.827304,33.492133
59.232370,13.918522,44.087855
34.124338,18.840004,11.624762
14.399274,48.305119,44.781676
64.826060,43.434180,59.692684
8.533745,50.754203,28.006905
9.539923,31.955443,44.079444
50.728896,16.018220,57.042048
29.942065,10.184972,54.911359
10.073237,63.137367,48.687397
22.493948,21.461471,14.451756
38.914257,59.606269,48.721892
43.190812,63.526411,17.352074
15.082300,5.764844,60.849457
17.535699,23.355966,33.845631
11.432060,35.967845,33.235486
28.735710,52.348722,44.271281
-105.321374,10.453627,-97.784585
18.751553,23.364626,20.936930
42.973415,53.811917,7.258769
22.035359,14.214441,22.901730
44.432667,62.329515,18.379075
52.975076,58.166577,11.732563
27.424949,40.185666,37.986171
42.722802,10.120880,62.549959
64.805058,36.924980,41.752454
14.152912,56.767715,30.953900
40.809885,38.906055,6.698364
15.557395,26.256564,30.452691
31.869231,7.633217,9.600069
61.451029,27.423119,8.558417
61.095084,35.050030,45.186685
9.140464,56.216092,8.255597
49.202260,33.983292,27.877048
18.367503,58.944952,62.162598
31.398398,49.128642,7.318216
30.059080,32.482217,18.390099
50.072440,13.463620,50.007878
86.813183,83.792743,-97.039909
39.674102,7.286375,39.335531
40.061451,27.520762,37.389093
-153.899358,-151.153389,88.986483
12.847915,19.345086,33.370587
64.488970,14.322171,20.366972
24.184387,55.182055,55.610230
6.436412,60.923237,56.408265
5.013677,28.871640,44.329000
15.376111,33.133013,51.396017
20.650049,40.735494,19.618010
64.790314,62.362102,54.378564
21.970509,57.334309,33.959192
57.644850,44.650865,57.626690
38.383543,59.598391,14.325885
60.120062,16.658522,33.115115
62.870102,157.119031,-75.002674
33.059672,64.248913,49.011334
19.487772,16.280477,36.713229
38.867919,24.874776,60.310904
