dim-1,outlier
48.948174,false
49.376237,false
49.806862,false
50.240006,false
50.675627,false
51.113679,false
51.554121,false
51.996907,false
52.441993,false
52.889335,true
53.338888,false
53.790607,false
54.244447,false
54.700362,false
55.158308,false
55.618238,false
56.080105,false
56.543865,false
57.009471,false
57.476875,true
57.946032,true
58.416894,false
58.889414,false
59.363546,false
59.839241,true
60.316452,false
60.795131,false
61.275231,false
61.756704,false
146.450387,true
62.723573,false
63.208874,false
63.695353,false
64.182963,false
64.671655,false
65.161379,false
65.652088,false
66.143731,false
66.636260,false
67.129625,false
67.623777,false
68.118667,false
68.614245,false
69.110461,true
69.607267,false
70.104611,false
70.602445,false
71.100719,false
71.599383,false
72.098387,false
72.597681,false
73.097216,false
73.596940,false
74.096805,false
-110.644222,true
75.096756,false
75.596742,false
76.096668,false
76.596485,false
77.096142,false
77.595589,false
78.094777,true
78.593655,false
79.092174,false
-106.090818,true
-137.708888,true
80.585076,false
81.081659,false
81.577635,false
82.072952,false
82.567562,false
83.061416,false
83.554463,false
84.046655,false
84.537942,false
85.028275,false
85.517606,false
86.005885,false
86.493063,false
86.979092,false
87.463923,false
87.947508,false
88.429798,false
88.910744,false
89.390300,false
89.868417,false
90.345047,false
90.820143,false
91.293656,false
91.765541,false
92.235748,false
92.704232,false
93.170946,true
93.635843,false
94.098876,true
94.559999,true
95.019166,false
95.476331,false
95.931449,false
96.384474,false
96.835360,false
97.284062,false
-107.173829,true
98.174738,false
98.616621,false
99.056143,false
99.493260,false
99.927927,false
100.360102,false
100.789740,false
101.216799,false
101.641237,false
102.063011,false
102.482078,false
102.898398,false
103.311927,false
103.722625,false
104.130451,false
104.535364,false
104.937324,false
105.336290,false
105.732222,false
106.125081,false
106.514827,false
106.901422,false
107.284827,false
107.665004,false
108.041914,false
108.415519,false
108.785784,false
109.152670,false
109.516140,false
109.876159,false
110.232690,false
110.585698,false
110.935148,false
111.281004,false
111.623232,false
-137.871920,true
112.296667,false
112.627807,false
112.955184,true
113.278766,false
113.598520,false
-78.947635,true
114.226417,false
114.534497,false
-72.156904,true
115.138766,false
115.434895,false
115.726980,false
116.014993,false
116.298905,false
116.578686,false
116.854310,false
117.125748,false
117.392974,false
117.655960,false
117.914681,false
118.169111,false
118.419223,false
118.664994,false
118.906398,false
119.143412,false
119.376011,false
119.604173,false
119.827874,false
120.047093,false
120.261807,false
120.471995,false
120.677635,false
120.878708,false
121.075193,false
121.267071,false
121.454322,false
121.636927,false
121.814869,false
121.988130,false
122.156691,false
-107.707017,true
128.104172,true
122.634018,false
122.783620,false
122.928445,false
123.068476,false
123.203701,false
123.334106,false
123.459677,false
123.580402,false
123.696269,false
123.807267,false
123.913384,false
124.014609,false
124.110934,false
-159.708697,true
124.288840,false
124.370404,false
124.447031,false
124.518713,false
124.585444,false
137.255124,true
124.704023,false
124.755860,false
124.802722,false
124.844603,false
124.881500,false
164.389248,true
124.940326,false
124.962250,false
124.979177,false
124.991107,false
124.998037,false
163.057739,true
124.996898,false
124.988829,false
124.975761,false
124.957696,false
124.934635,false
124.906580,false
124.873535,false
124.835503,false
124.792487,false
124.744492,true
124.691522,false
124.633583,false
124.570681,false
124.502822,false
124.430013,false
124.352261,false
124.269573,false
124.181959,false
124.089426,false
123.991985,false
123.889644,false
123.782415,false
123.670307,true
123.553333,false
123.431503,false
123.304829,false
123.173326,false
123.037005,false
122.895881,false
122.749967,false
122.599278,false
122.443829,false
122.283636,false
122.118714,false
121.949081,false
121.774752,false
121.595747,false
121.412082,false
121.223775,false
121.030846,false
120.833315,false
120.631200,false
-129.023949,true
120.213301,false
119.997559,false
119.777318,false
119.552598,false
119.323424,false
119.089817,false
118.851801,false
118.609400,false
118.362639,false
118.111541,false
117.856131,false
117.596437,false
117.332482,false
117.064295,false
116.791901,false
116.515328,false
116.234603,false
115.949755,false
115.660812,false
115.367803,false
115.070758,false
114.769705,true
114.464675,false
114.155699,false
-85.370783,true
113.526031,false
113.205403,false
112.880954,false
112.552717,false
112.220725,false
111.885010,false
111.545607,false
111.202550,false
110.855872,false
110.505609,false
110.151796,false
109.794467,false
109.433659,false
109.069407,false
108.701748,false
108.330720,false
107.956358,false
-132.540319,true
107.197786,false
-143.489063,true
106.426335,false
106.035876,false
105.642313,false
105.245687,false
104.846036,false
104.443400,false
104.037820,false
103.629336,false
103.217989,false
102.803821,false
102.386872,false
-164.420945,true
101.544800,false
101.119762,false
100.692111,false
100.261891,false
99.829145,false
99.393917,false
98.956248,false
98.516184,false
98.073769,false
97.629046,false
97.182061,false
96.732857,false
96.281480,false
95.827974,false
95.372386,false
94.914761,false
94.455144,false
93.993582,false
93.530120,false
93.064806,true
92.597685,false
92.128804,false
91.658210,false
91.185951,false
90.712073,false
90.236624,false
89.759651,false
89.281202,false
88.801325,false
88.320068,false
87.837479,false
87.353606,false
86.868498,false
86.382203,false
85.894770,false
85.406247,false
84.916684,false
84.426129,false
83.934631,false
83.442240,false
82.949005,false
82.454975,false
81.960199,false
-113.341821,true
80.968610,false
80.471895,false
158.993951,true
79.476873,true
78.978666,false
-157.222183,true
77.981108,false
77.481856,false
76.982357,false
76.482659,false
75.982813,false
75.482869,false
74.982877,false
74.482886,false
73.982947,false
73.483109,false
72.983424,false
72.483940,false
71.984707,false
-148.945462,true
70.987197,false
70.489019,false
69.991292,false
69.494065,false
68.997390,false
68.501314,false
68.005889,false
67.511163,false
67.017185,false
66.524006,false
66.031675,false
65.540241,false
65.049752,false
64.560258,false
158.395189,true
63.584452,false
63.098237,false
62.613212,false
62.129425,false
61.646926,true
-116.530891,true
60.685981,false
60.207632,false
59.730762,false
59.255419,false
58.781650,false
58.309503,false
57.839025,false
57.370264,false
56.903265,false
56.438076,false
55.974743,false
55.513312,false
55.053831,false
54.596343,false
54.140896,false
53.687536,false
53.236306,false
52.787252,false
52.340420,false
51.895854,false
51.453598,false
51.013697,false
50.576195,false
50.141135,false
49.708560,false
49.278515,false
48.851042,false
48.426184,false
48.003983,false
47.584482,false
47.167722,false
46.753745,false
46.342593,false
45.934307,false
45.528928,false
45.126495,false
44.727050,false
44.330632,false
43.937281,false
43.547036,false
43.159936,false
42.776021,false
42.395328,false
42.017895,true
41.643760,false
41.272961,false
40.905535,false
40.541518,false
-76.434540,true
39.823858,false
39.470286,false
39.120268,false
38.773837,false
38.431029,false
38.091877,false
37.756417,false
37.424681,false
37.096702,false
36.772514,false
-147.704059,true
36.135637,false
35.823013,false
35.514306,false
35.209548,false
34.908768,false
162.627077,true
34.319267,false
34.030603,false
33.746037,false
-139.890825,true
33.189308,false
32.917201,false
32.649303,false
32.385640,false
32.126238,false
31.871123,false
31.620321,false
31.373857,false
31.131756,false
30.894041,false
30.660738,false
-121.669631,true
30.207454,false
29.987520,false
29.772087,false
29.561177,false
29.354811,false
29.153009,false
28.955792,true
28.763179,false
28.575190,false
-92.446336,true
28.213158,false
28.039151,false
27.869839,false
27.705241,false
27.545372,false
27.390249,false
27.239887,false
27.094300,false
-81.904947,true
26.817513,false
26.686340,false
26.559998,false
26.438500,false
26.321859,false
26.210085,false
26.103190,false
135.094435,true
25.904079,false
25.811883,false
25.724606,false
25.642256,false
25.564842,false
25.492372,false
25.424852,false
25.362290,false
25.304691,false
25.252062,false
25.204408,false
25.161733,false
25.124042,false
25.091339,false
25.063626,false
25.040907,false
25.023184,false
25.010459,false
25.002732,false
25.000005,false
25.002278,false
25.009551,false
25.021823,false
25.039092,false
25.061358,false
25.088617,false
25.120868,true
25.158106,false
25.200329,false
25.247531,false
25.299709,false
25.356857,false
25.418969,false
25.486039,false
25.558060,false
25.635026,false
25.716927,false
25.803758,false
-141.948528,true
25.992168,false
26.093729,false
26.200180,false
26.311512,false
26.427712,false
26.548770,false
26.674672,true
26.805407,false
26.940962,false
27.081322,false
27.226474,true
27.376404,false
27.531096,false
27.690534,false
27.854704,false
28.023588,false
28.197170,false
28.375431,false
28.558356,false
28.745924,false
28.938118,false
29.134918,false
29.336304,false
29.542257,false
29.752756,false
29.967779,false
30.187305,true
30.411313,false
30.639779,false
30.872682,false
31.109997,false
31.351701,false
31.597770,false
31.848179,false
32.102903,false
-113.259961,true
32.625195,false
32.892710,false
33.164436,false
33.440345,false
33.720410,false
34.004603,false
34.292896,true
34.585259,false
34.881664,false
35.182081,false
35.486479,false
35.794829,false
36.107099,false
36.423258,false
36.743275,false
37.067118,false
37.394754,false
37.726151,true
38.061274,false
-157.379157,true
38.742570,false
39.088673,false
-111.755160,true
39.791618,false
40.148389,false
40.508646,false
40.872351,false
41.239470,false
41.609964,false
41.983797,false
42.360932,false
42.741331,false
-130.911292,true
43.511768,false
43.901729,false
44.294800,false
44.690941,false
45.090113,false
45.492276,false
45.897390,false
46.305414,false
46.716307,true
47.130029,false
47.546538,false
47.965792,false
48.387750,false
48.812368,false
49.239606,false
49.669419,false
163.890826,true
50.536602,false
50.973885,false
51.413570,false
51.855614,false
52.299972,true
52.746600,false
53.195454,false
53.646488,false
