dim-1,outlier
-34.414576,true
129.622443,false
127.441828,false
125.862277,false
-9.860820,true
-57.054793,true
129.498961,false
127.127597,false
127.783361,false
126.038966,false
123.800963,false
127.310262,false
127.930516,false
125.496544,false
127.279896,false
126.527640,false
126.540153,false
124.771546,false
124.161036,false
121.561040,false
124.415883,false
122.501269,false
124.599833,false
121.322492,false
122.544593,false
121.814486,false
118.972998,false
-66.137616,true
122.982417,false
119.642103,false
117.594307,false
117.806051,false
121.247206,false
120.310823,false
116.162740,false
119.714580,false
-30.139864,true
117.530665,false
117.539614,false
5.253068,true
118.294186,false
114.528274,false
114.907877,false
113.323839,false
111.980941,false
112.488171,false
114.016044,false
113.180406,false
110.907609,false
112.282916,false
109.731542,false
110.667242,false
111.739330,false
108.321557,false
108.071909,false
111.644533,false
111.133610,false
107.784970,false
110.207187,false
107.309453,false
107.718517,false
109.466645,false
106.826905,false
107.608513,false
104.285766,false
102.904939,false
103.550897,false
105.565554,false
105.940403,false
102.369494,false
104.445055,false
102.200442,false
103.667184,false
101.522641,false
103.067695,false
98.412764,false
100.950619,false
98.945849,false
98.334682,false
98.373155,false
-26.694178,true
97.290269,false
96.009667,false
98.215372,false
97.464679,false
-15.589568,true
93.628125,false
97.023483,false
95.171744,false
92.532427,false
94.097740,false
91.247436,false
94.788176,false
91.831023,false
90.834959,false
90.518116,false
89.495339,false
90.858302,false
88.222124,false
87.563473,false
-77.487928,true
89.211915,false
-25.640720,true
87.191428,false
84.582845,false
84.659568,false
86.666646,false
86.367144,false
85.442107,false
-48.265742,true
81.189214,false
12.892208,true
84.271983,false
82.344194,false
82.485705,false
81.274182,false
81.510444,false
81.387879,false
78.559355,false
78.733994,false
78.561261,false
79.483700,false
76.408367,false
75.450150,false
-61.542002,true
76.401107,false
77.539466,false
73.988906,false
74.723476,false
73.704436,false
75.242600,false
72.253774,false
11.889006,true
73.466729,false
71.778177,false
70.268256,false
68.906389,false
70.625124,false
67.322952,false
66.951006,false
67.933055,false
