dim-1,dim-2,outlier
92.784957,117.324667,false
93.251360,117.588746,false
-70.221510,117.848566,true
94.178645,118.104102,false
-105.925636,118.355327,true
95.098259,118.602216,false
95.555073,118.844745,false
96.009833,119.082890,false
96.462491,119.316627,false
96.913004,119.545932,false
97.361325,119.770782,false
97.807409,119.991156,false
98.251214,120.207030,false
98.692693,120.418384,false
99.131802,120.625195,false
99.568499,120.827445,false
100.002739,121.025111,false
100.434478,121.218176,false
100.863675,121.406618,false
101.290284,121.590420,false
101.714265,121.769562,false
102.135574,121.944028,false
102.554170,-127.640418,true
102.970011,122.278860,false
103.383054,122.439192,false
103.793259,122.594781,false
104.200585,122.745610,false
104.604991,122.891664,false
-96.283441,-88.276906,true
105.404881,123.169391,false
105.800285,123.301037,false
106.192610,123.427852,false
106.581815,123.549824,false
106.967862,123.666942,false
107.350712,123.779192,false
107.730327,123.886565,false
108.106669,123.989049,false
-92.433058,-134.017953,true
108.849384,124.179312,false
109.215682,124.267071,false
109.578559,124.349903,false
109.937979,124.427800,false
110.293904,124.500755,false
110.646300,124.568759,false
110.995132,124.631807,false
111.340364,124.689891,false
111.681962,-158.453898,true
112.019892,124.791148,false
112.354119,124.834311,false
112.684612,124.872489,false
113.011336,124.905681,false
113.334259,124.933882,false
113.653349,-154.893588,true
113.968573,124.975302,false
114.279900,124.988517,false
114.587300,124.996733,false
114.890741,-91.787755,true
115.190192,124.998165,false
115.485625,124.991381,false
115.777009,124.979599,false
116.064316,124.962818,false
-135.847418,-77.350812,true
116.626581,124.914271,false
116.901484,124.882508,false
117.172197,124.845758,false
117.438693,124.804023,false
117.700944,124.757308,false
117.958926,124.705616,false
118.212612,124.648955,false
118.461976,124.587329,false
118.706995,124.520743,false
118.947642,124.449206,false
119.183895,124.372724,false
119.415730,124.291305,false
119.643123,124.204957,false
119.866052,124.113688,false
120.084494,124.017508,false
120.298428,123.916426,false
120.507832,123.810453,false
120.712685,123.699598,true
120.912968,123.583874,false
121.108658,123.463291,false
121.299738,123.337862,false
121.486188,123.207599,false
121.667990,123.072516,false
121.845125,122.932625,false
122.017575,122.787941,false
122.185323,122.638479,false
122.348353,122.484252,false
122.506649,122.325277,false
122.660193,122.161570,false
122.808972,121.993147,false
122.952970,121.820024,false
123.092172,121.642219,false
123.226566,121.459750,false
123.356136,121.272636,false
123.480871,121.080894,false
123.600759,120.884543,false
123.715786,120.683605,false
123.825941,120.478098,false
-159.775916,-164.665678,true
124.031594,120.053462,false
124.127071,119.834376,false
124.217635,119.610805,false
124.303277,119.382774,false
124.383989,119.150305,false
124.459763,118.913421,false
124.530591,118.672145,false
124.596466,118.426502,false
124.657381,118.176517,false
124.713330,117.922214,false
124.764309,117.663618,false
124.810310,117.400757,false
124.851331,-109.318999,true
124.887367,116.862340,false
124.918414,116.586839,false
124.944469,116.307179,false
124.965530,116.023389,false
124.981594,115.735496,false
124.992661,115.443530,false
124.998728,115.147519,false
124.999795,114.847494,false
124.995862,114.543484,false
124.986930,114.235520,false
-90.247315,134.426105,true
124.954070,113.607851,false
-152.485387,133.736624,true
124.901230,112.964741,false
124.867323,112.637475,false
124.828430,112.306445,false
124.784554,111.971684,false
124.735699,-140.206012,true
124.681871,111.291106,false
124.623075,110.945356,false
124.559316,110.596011,false
124.490602,110.243107,false
124.416939,109.886678,false
124.338334,109.526761,false
124.254795,109.163392,false
124.166330,108.796606,false
124.072950,108.426440,false
123.974661,108.052932,false
123.871476,107.676118,false
123.763403,107.296037,false
123.650454,106.912727,false
123.532640,106.526225,false
123.409973,106.136570,false
123.282465,105.743802,false
123.150128,105.347960,false
123.012977,104.949082,false
122.871024,104.547210,false
122.724285,104.142383,false
122.572773,103.734642,false
122.416503,-124.400750,true
122.255492,102.910581,false
122.089756,102.494343,false
121.919311,102.075356,false
121.744173,101.653661,false
121.564362,101.229301,false
121.379894,100.802318,false
121.190788,100.372754,false
120.997063,99.940654,false
120.798738,99.506059,false
120.595834,99.069014,false
120.388370,98.629562,false
120.176367,98.187747,false
119.959846,97.743613,false
119.738830,97.297205,false
119.513340,96.848567,false
119.283398,96.397745,false
119.049028,95.944782,false
118.810253,95.489725,false
118.567098,95.032620,false
155.500520,-70.559775,true
118.067741,94.112444,false
