dim-1,dim-2,outlier
33.241494,45.101564,false
36.031921,42.960621,false
34.252833,45.397654,false
33.102580,43.092015,false
33.483623,41.885582,false
34.992652,43.887163,false
37.408685,44.132490,false
35.286735,47.428830,false
34.255989,47.338173,false
35.024442,44.037519,false
37.402112,44.685938,false
35.543405,47.922939,false
36.413378,48.792966,false
37.948377,44.976399,false
35.407973,44.701767,false
34.951064,48.461626,false
37.030762,49.003751,false
36.427650,-72.411792,true
34.485951,48.150149,false
37.914761,50.202225,false
39.031479,49.657646,false
35.598464,51.805876,false
36.090239,51.670719,false
37.553444,51.180486,false
38.539600,51.483504,false
36.140275,49.638977,false
37.395462,51.265620,false
37.393207,50.531381,false
36.947873,49.992337,false
37.677943,51.434077,false
29.273935,51.297034,true
36.331977,51.900781,false
38.733854,51.479192,false
36.437368,54.036705,false
-39.393428,22.348564,true
39.168042,52.270080,false
41.150134,57.422568,false
39.631094,55.468086,false
38.923377,57.755800,false
22.014578,-44.186827,true
40.851651,55.885498,false
42.316342,57.342502,false
40.340561,56.581066,false
42.778722,56.787591,false
40.538238,56.805062,false
41.360533,58.361169,false
42.659122,58.557245,false
43.739170,60.494009,false
-54.548900,-23.630385,true
41.545515,58.139649,false
39.979195,61.348670,false
43.065886,-67.437893,true
41.290060,60.735250,false
-4.799669,62.791461,true
42.268099,63.979866,false
45.936000,63.371575,false
45.421109,65.894637,false
45.971051,64.702758,false
42.945662,64.450621,false
44.173750,65.437835,false
44.996515,64.876295,false
43.883563,66.500785,false
-70.625470,65.954385,true
46.372087,65.109303,false
48.577177,68.136212,false
48.724223,67.170825,false
45.736103,67.131605,false
47.992282,69.968423,false
48.487840,70.569706,false
46.677575,68.302847,false
48.922715,72.122029,false
19.373345,-43.159648,true
48.098581,70.243938,false
47.578231,73.784544,false
50.612993,74.645704,false
-70.739490,-61.984791,true
49.534890,72.141895,false
48.954354,72.975275,false
52.564033,76.404642,false
51.221969,75.975843,false
52.787338,72.779379,false
49.968101,74.502393,false
54.357265,74.027940,false
50.803351,74.586666,false
-66.792907,-63.855240,true
51.433472,79.332117,false
52.421183,75.958447,false
55.066378,76.282184,false
56.403438,-71.843392,true
57.438473,81.892745,false
54.919780,79.194646,false
55.566753,82.279277,false
56.278441,79.461224,false
56.652943,79.401245,false
57.800500,80.887529,false
-74.715810,83.356992,true
59.080972,83.452014,false
56.811379,84.738057,false
59.961738,82.986441,false
61.724976,84.264849,false
58.890811,84.404900,false
59.575659,86.800723,false
63.014474,84.154782,false
60.905063,5.035425,true
59.615463,87.114571,false
64.180944,85.721710,false
65.201791,86.042365,false
65.567500,89.149900,false
65.989140,89.383804,false
65.624676,88.317032,false
62.408353,89.922224,false
64.041559,89.300477,false
64.890770,89.780439,false
-7.165609,-60.122098,true
68.229473,89.551051,false
68.120771,93.750532,false
65.148684,92.682504,false
65.780551,91.216938,false
69.359274,95.887774,false
71.106227,93.541579,false
70.024346,97.388654,false
67.281270,95.645937,false
69.780666,98.376269,false
69.713411,94.066310,false
71.741186,94.493262,false
72.566578,99.118432,false
72.087591,97.407044,false
-61.153608,96.467241,true
9.990281,0.810440,true
75.169849,99.486683,false
