dim-1,dim-2
92.784957,117.324667
93.251360,117.588746
-70.221510,117.848566
94.178645,118.104102
-105.925636,118.355327
95.098259,118.602216
95.555073,118.844745
96.009833,119.082890
96.462491,119.316627
96.913004,119.545932
97.361325,119.770782
97.807409,119.991156
98.251214,120.207030
98.692693,120.418384
99.131802,120.625195
99.568499,120.827445
100.002739,121.025111
100.434478,121.218176
100.863675,121.406618
101.290284,121.590420
101.714265,121.769562
102.135574,121.944028
102.554170,-127.640418
102.970011,122.278860
103.383054,122.439192
103.793259,122.594781
104.200585,122.745610
104.604991,122.891664
-96.283441,-88.276906
105.404881,123.169391
105.800285,123.301037
106.192610,123.427852
106.581815,123.549824
106.967862,123.666942
107.350712,123.779192
107.730327,123.886565
108.106669,123.989049
-92.433058,-134.017953
108.849384,124.179312
109.215682,124.267071
109.578559,124.349903
109.937979,124.427800
110.293904,124.500755
110.646300,124.568759
110.995132,124.631807
111.340364,124.689891
111.681962,-158.453898
112.019892,124.791148
112.354119,124.834311
112.684612,124.872489
113.011336,124.905681
113.334259,124.933882
113.653349,-154.893588
113.968573,124.975302
114.279900,124.988517
114.587300,124.996733
114.890741,-91.787755
115.190192,124.998165
115.485625,124.991381
115.777009,124.979599
116.064316,124.962818
-135.847418,-77.350812
116.626581,124.914271
116.901484,124.882508
117.172197,124.845758
117.438693,124.804023
117.700944,124.757308
117.958926,124.705616
118.212612,124.648955
118.461976,124.587329
118.706995,124.520743
118.947642,124.449206
119.183895,124.372724
119.415730,124.291305
119.643123,124.204957
119.866052,124.113688
120.084494,124.017508
120.298428,123.916426
120.507832,123.810453
120.712685,123.699598
120.912968,123.583874
121.108658,123.463291
121.299738,123.337862
121.486188,123.207599
121.667990,123.072516
121.845125,122.932625
122.017575,122.787941
122.185323,122.638479
122.348353,122.484252
122.506649,122.325277
122.660193,122.161570
122.808972,121.993147
122.952970,121.820024
123.092172,121.642219
123.226566,121.459750
123.356136,121.272636
123.480871,121.080894
123.600759,120.884543
123.715786,120.683605
123.825941,120.478098
-159.775916,-164.665678
124.031594,120.053462
124.127071,119.834376
124.217635,119.610805
124.303277,119.382774
124.383989,119.150305
124.459763,118.913421
124.530591,118.672145
124.596466,118.426502
124.657381,118.176517
124.713330,117.922214
124.764309,117.663618
124.810310,117.400757
124.851331,-109.318999
124.887367,116.862340
124.918414,116.586839
124.944469,116.307179
124.965530,116.023389
124.981594,115.735496
124.992661,115.443530
124.998728,115.147519
124.999795,114.847494
124.995862,114.543484
124.986930,114.235520
-90.247315,134.426105
124.954070,113.607851
-152.485387,133.736624
124.901230,112.964741
124.867323,112.637475
124.828430,112.306445
124.784554,111.971684
124.735699,-140.206012
124.681871,111.291106
124.623075,110.945356
124.559316,110.596011
124.490602,110.243107
124.416939,109.886678
124.338334,109.526761
124.254795,109.163392
124.166330,108.796606
124.072950,108.426440
123.974661,108.052932
123.871476,107.676118
123.763403,107.296037
123.650454,106.912727
123.532640,106.526225
123.409973,106.136570
123.282465,105.743802
123.150128,105.347960
123.012977,104.949082
122.871024,104.547210
122.724285,104.142383
122.572773,103.734642
122.416503,-124.400750
122.255492,102.910581
122.089756,102.494343
121.919311,102.075356
121.744173,101.653661
121.564362,101.229301
121.379894,100.802318
121.190788,100.372754
120.997063,99.940654
120.798738,99.506059
120.595834,99.069014
120.388370,98.629562
120.176367,98.187747
119.959846,97.743613
119.738830,97.297205
119.513340,96.848567
119.283398,96.397745
119.049028,95.944782
118.810253,95.489725
118.567098,95.032620
155.500520,-70.559775
118.067741,94.112444
117.811590,93.649467
117.551158,93.184624
117.286471,-119.730182
148.508602,-138.308935
116.744437,91.779372
116.467145,91.307537
116.185707,90.834070
115.900149,90.359021
115.610502,89.882435
115.316794,89.404361
115.019054,88.924847
114.717312,88.443940
114.411599,87.961689
114.101944,87.478142
113.788380,86.993346
113.470936,86.507352
113.149646,86.020207
112.824540,85.531960
112.495652,85.042659
112.163015,84.552355
111.826661,84.061095
111.486625,83.568929
111.142940,83.075906
110.795640,82.582075
110.444762,82.087487
110.090338,81.592189
109.732406,81.096233
109.371001,80.599667
109.006158,80.102540
108.637915,79.604904
108.266308,79.106807
107.891375,78.608299
107.513152,78.109431
107.131678,77.610252
106.746991,77.110811
106.359129,76.611160
105.968132,76.111347
105.574038,75.611423
105.176886,75.111439
104.776716,74.611443
104.373569,74.111486
103.967485,73.611617
103.558504,73.111888
103.146667,72.612347
102.732015,72.113045
102.314590,71.614032
101.894434,71.115357
101.471589,70.617071
101.046096,70.119223
-133.927997,-154.863466
100.187339,69.125042
99.754162,68.628807
99.318508,68.133210
98.880423,67.638299
98.439950,67.144125
97.997133,66.650736
97.552016,66.158182
97.104644,65.666512
96.655062,65.175775
96.203314,64.686021
95.749446,64.197299
95.293503,63.709656
94.835530,63.223143
94.375574,62.737807
93.913681,62.253698
93.449896,61.770863
92.984266,61.289351
92.516838,60.809210
92.047658,60.330488
91.576773,59.853233
-113.266349,-112.038309
90.630078,58.903314
-132.640960,-73.855259
89.677131,57.959835
89.198432,57.490627
88.718314,57.023171
88.236823,56.557512
87.754009,56.093697
87.269919,55.631773
86.784603,55.171786
86.298108,54.713781
85.810483,54.257806
85.321777,53.803904
84.832039,53.352122
84.341318,52.902505
83.849663,52.455097
83.357122,52.009944
82.863746,51.567090
82.369584,51.126579
81.874684,50.688456
81.379098,50.252763
80.882873,49.819546
80.386060,49.388846
79.888708,48.960708
79.390868,48.535173
78.892588,48.112285
78.393920,47.692085
77.894911,47.274617
77.395614,46.859921
76.896077,46.448039
76.396350,46.039012
75.896483,45.632881
75.396527,45.229687
74.896531,44.829469
74.396546,44.432269
73.896621,44.038126
73.396806,43.647079
72.897152,43.259167
72.397708,42.874429
71.898524,42.492903
71.399650,42.114628
70.901136,41.739642
70.403032,41.367982
69.905388,40.999685
69.408253,40.634788
68.911678,40.273328
68.415711,39.915340
67.920403,39.560860
67.425803,39.209925
66.931960,38.862568
66.438924,38.518825
65.946743,38.178730
65.455469,37.842318
64.965149,37.509621
64.475832,37.180673
63.987567,36.855507
63.500404,36.534155
63.014391,36.216650
62.529576,35.903023
62.046009,35.593306
61.563737,35.287530
61.082808,34.985724
60.603271,34.687920
60.125174,34.394148
59.648564,34.104436
59.173490,33.818813
58.699998,33.537308
58.228136,33.259950
57.757951,32.986766
57.289490,32.717783
56.822800,32.453028
56.357929,32.192528
55.894921,31.936308
55.433824,31.684395
133.842376,31.436813
54.517545,31.193588
54.062455,30.954743
53.609459,30.720303
-102.272636,30.490291
52.709929,30.264729
52.263485,30.043642
51.819314,29.827049
51.377462,29.614974
50.937972,29.407438
50.500888,29.204460
50.066254,29.006062
49.634114,28.812264
49.204509,28.623084
48.777485,28.438542
48.353083,28.258656
47.931345,28.083444
47.512314,27.912924
47.096032,27.747112
-108.805277,27.586026
46.271880,27.429681
45.864093,27.278093
45.459220,27.131277
45.057300,26.989248
-80.960410,26.852020
44.262484,26.719607
43.869666,26.592022
-130.691714,26.469277
43.093409,26.351386
42.710047,26.238359
42.329915,26.130209
41.953049,26.026945
41.579487,25.928579
-108.572128,25.835120
40.842428,25.746577
-92.943088,-131.894503
40.119031,25.584276
39.762547,25.510533
39.409586,25.441740
39.060185,25.377902
38.714377,25.319027
38.372198,25.265120
38.033682,25.216186
37.698862,25.172230
37.367773,25.133257
37.040446,25.099271
36.716916,25.070275
36.397213,25.046272
36.081371,25.027264
35.769421,25.013253
35.461394,25.004241
35.157321,25.000229
34.857232,25.001216
34.561157,25.007204
34.269126,25.018190
33.981168,25.034175
33.697312,25.055156
33.417586,25.081132
33.142018,25.112099
32.870636,25.148055
32.603468,25.188997
32.340538,25.234919
32.081875,25.285818
31.827503,25.341688
31.577449,25.402524
156.430537,25.468320
31.090391,25.539069
30.853436,25.614764
30.620896,25.695397
30.392794,25.780961
30.169153,25.871447
29.949995,25.966846
29.735341,26.067147
29.525215,26.172343
29.319635,26.282420
29.118624,26.397370
28.922200,26.517180
28.730385,26.641838
28.543196,26.771331
28.360653,26.905648
28.182774,27.044774
28.009576,27.188695
27.841078,27.337398
27.677295,27.490867
27.518245,27.649086
27.363942,27.812041
27.214404,-87.748951
27.069644,28.152090
-126.016036,-108.424891
26.794516,28.510877
26.664176,28.697253
26.538670,28.888260
26.418010,29.083877
26.302208,29.284086
26.191276,29.488867
26.085225,29.698198
25.984065,29.912060
25.887807,30.130431
-115.139136,30.353288
25.710033,30.580610
25.628535,30.812374
25.551974,31.048557
25.480358,31.289135
25.413694,31.534084
25.351988,31.783380
25.295248,32.036997
25.243477,32.294910
25.196683,32.557094
25.154868,32.823522
25.118038,33.094168
25.086197,33.369004
25.059346,33.648003
25.037490,33.931138
25.020630,34.218379
25.008767,34.509698
25.001904,34.805067
25.000041,35.104455
25.003177,35.407832
25.011313,35.715169
25.024448,36.026434
25.042581,36.341596
25.065709,36.660625
25.093830,36.983487
25.126942,37.310150
25.165042,37.640583
25.208125,37.974752
25.256187,38.312623
25.309223,38.654163
25.367228,38.999337
25.430197,39.348111
25.498123,39.700451
25.570998,40.056320
25.648817,40.415684
25.731570,40.778506
25.819251,41.144751
25.911849,41.514381
26.009357,41.887359
26.111763,42.263648
26.219058,42.643212
-75.240296,43.026011
26.448271,43.412007
128.982151,43.801162
26.696904,44.193437
-99.137803,149.556445
26.964858,44.987189
27.106047,45.388587
