dim-1,dim-2,outlier
74.117918,89.402383,false
-8.105172,14.606002,true
75.117872,90.357055,false
75.617856,90.832111,false
76.117779,91.305584,false
76.617590,91.777426,false
77.117239,92.247591,false
77.616676,4.431035,true
78.115852,-68.648818,true
78.614716,93.647550,false
79.113218,94.110535,false
79.611310,-47.532117,true
80.108940,95.030727,false
80.606059,95.487841,false
81.102618,-65.140519,true
81.598566,96.395877,false
82.093855,96.846709,false
-59.321006,97.295356,true
83.082254,97.741773,false
83.575267,98.185916,false
84.067421,98.627741,false
84.558669,99.067203,false
85.048961,99.504258,false
85.538248,99.938863,false
-0.923502,-34.570824,true
86.513612,100.800548,false
86.999592,101.227542,false
87.484371,101.651913,false
87.967902,102.073619,false
88.450136,102.492617,false
88.931025,102.908867,false
89.410521,103.322325,false
89.888577,103.732952,false
90.365143,104.140705,false
90.840172,104.545543,false
91.313618,104.947428,false
91.785432,105.346318,false
92.255568,105.742173,false
92.723979,106.134954,false
93.190616,106.524621,false
93.655435,106.911136,false
94.118389,107.294460,false
12.457288,-41.709306,true
95.038514,108.051382,false
-32.476394,108.424904,true
95.950624,108.795083,false
96.403559,109.161883,false
96.854354,109.525267,false
97.302963,109.885198,false
97.749342,110.241641,false
98.193446,110.594560,false
98.635231,110.943919,false
99.074653,111.289684,false
99.511667,111.631820,false
99.946229,111.970293,false
-13.086954,-72.940579,true
-50.741011,112.636114,true
101.234777,112.963396,false
101.659104,113.286882,false
102.080764,113.606539,false
102.499716,113.922335,false
-35.015202,114.234239,true
103.329329,114.542220,false
103.739907,114.846246,false
104.147611,115.146288,false
104.552400,115.442315,false
104.954234,115.734298,false
105.353072,116.022208,false
105.748875,116.306015,false
106.141604,116.585692,false
106.531218,116.861211,false
106.917679,117.132543,false
107.300948,117.399662,false
107.680987,117.662541,false
108.057759,117.921154,false
108.431224,118.175475,false
18.456662,118.425478,true
109.168089,20.263637,true
109.531414,118.912433,false
109.891287,119.149335,false
110.247670,119.381823,false
21.916657,-59.263494,true
110.949827,119.833461,false
111.295531,120.052566,false
-68.824233,-46.165609,true
-26.326299,-37.411108,true
112.310728,120.682765,false
112.641709,120.883723,false
112.968927,121.080092,false
113.292348,121.271853,false
113.611939,121.458987,false
113.927669,121.641475,false
114.239507,121.819299,false
114.547421,121.992441,false
114.851380,122.160884,false
115.151353,122.324611,false
115.447312,122.483605,false
115.739226,122.637851,false
116.027066,122.787334,false
116.310804,122.932037,false
116.590410,123.071948,false
116.865858,123.207051,false
117.137119,123.337334,false
117.404166,123.462783,false
117.666973,123.583385,false
117.925513,123.699130,false
118.179761,123.810005,false
118.429690,123.915998,false
118.675277,124.017100,false
118.916496,124.113301,false
119.153324,124.204590,false
119.385737,124.290958,false
119.613710,124.372398,false
119.837223,124.448900,false
120.056252,124.520458,false
120.270775,124.587064,false
120.480771,124.648711,false
120.686219,124.705393,false
120.887099,124.757104,false
121.083390,124.803840,false
121.275072,124.845596,false
121.462128,124.882367,false
121.644537,124.914150,false
121.822281,124.940941,false
121.995343,124.962739,false
122.163706,124.979540,false
122.327353,-80.922127,true
122.486267,124.998147,false
122.640432,124.999952,false
122.789833,124.996756,false
122.934456,124.988561,false
123.074284,124.975367,false
123.209306,124.957175,false
123.339507,124.933988,false
123.464873,124.905808,false
123.585394,-59.833796,true
123.701055,124.834479,false
123.811847,124.791337,false
123.917758,124.743216,false
124.018776,124.690121,false
124.114893,124.632057,false
124.206099,124.569030,false
124.292384,124.501046,false
124.373740,124.428112,false
124.450158,124.350235,false
124.521632,-13.540988,true
124.588153,124.179684,false
124.649716,124.087028,false
124.706313,123.989463,false
124.757940,123.886999,false
124.804591,123.779646,false
124.846262,-46.297750,true
124.882949,123.550318,false
124.914647,123.428366,false
124.941353,123.301571,false
124.963066,123.169945,false
124.979782,123.033503,false
0.787767,122.892258,true
124.998220,122.746223,false
124.999939,122.595414,false
124.996659,122.439845,false
124.988378,122.279532,false
124.975099,122.114492,false
124.956823,121.944739,false
124.933551,121.770293,false
124.905286,121.591170,false
124.872030,121.407387,false
124.833787,121.218964,false
124.790560,121.025919,false
124.742355,120.828271,false
124.689176,120.626041,false
124.631027,120.419248,false
124.567916,120.207913,false
124.499847,119.992057,false
124.426829,119.771702,false
-57.801827,119.546870,true
124.265973,119.317584,false
124.178150,119.083865,false
124.085410,118.845739,false
123.987762,118.603227,false
123.885215,118.356356,false
123.777779,118.105149,false
-77.417462,117.849631,true
123.548286,117.589829,false
123.426251,117.325767,false
123.299373,117.057473,false
123.167666,116.784973,false
123.031142,116.508295,false
122.889815,116.227466,false
122.743699,115.942515,false
122.592809,115.653469,false
122.437159,1.831284,true
122.276766,115.063210,false
122.111645,114.762057,false
121.941813,114.456927,false
-28.049200,114.147852,true
121.588084,113.834862,false
121.404223,113.517988,false
121.215721,113.197263,false
121.022597,112.872718,false
120.824872,112.544386,false
120.622563,112.212299,false
120.415693,111.876491,false
120.204281,111.536996,false
119.988349,111.193847,false
119.767918,110.847078,false
119.543010,110.496725,false
119.313648,110.142822,false
119.079854,109.785405,false
118.841653,109.424510,false
118.599067,109.060172,false
118.352122,108.692428,false
118.100841,108.321314,false
117.845251,107.946869,false
117.585376,107.569129,false
117.321242,107.188132,false
117.052876,106.803917,false
116.780305,106.416521,false
116.503556,106.025983,false
116.222657,105.632343,false
115.937635,105.235639,false
115.648520,104.835912,false
115.355340,104.433202,false
115.058125,104.027548,false
114.756903,103.618992,false
114.451706,103.207573,false
114.142564,102.793334,false
113.829508,102.376316,false
113.512568,101.956560,false
113.191778,101.534108,false
112.867168,101.109003,false
112.538772,100.681287,false
112.206622,100.251003,false
111.870751,99.818194,false
111.531193,99.382903,false
111.187982,-40.100654,true
110.841153,98.505050,false
110.490739,98.062575,false
110.136776,97.617795,false
109.779299,97.170753,false
109.418345,96.721494,false
109.053949,96.270062,false
108.686147,95.816504,false
108.314977,95.360864,false
107.940475,94.903188,false
107.562680,94.443521,false
107.181628,93.981911,false
106.797358,93.518402,false
106.409908,93.053041,false
106.019318,92.585875,false
-43.028889,92.116950,true
105.228870,91.646314,false
104.829092,91.174013,false
104.426331,90.700095,false
104.020627,90.224607,false
103.612022,89.747596,false
103.200555,89.269111,false
102.786268,88.789198,false
102.369203,88.307907,false
101.949401,87.825285,false
101.526904,87.341380,false
101.101754,86.856242,false
100.673994,86.369917,false
100.243667,-75.781880,true
99.810815,85.393906,false
99.375482,84.904318,false
98.937712,84.413738,false
98.497548,83.922218,false
98.055034,83.429805,false
97.610215,82.936549,false
97.163134,82.442499,false
96.713838,81.947705,false
96.262370,81.452217,false
95.808776,80.956083,false
95.353101,80.459354,false
94.895391,14.655639,true
94.435691,79.464307,false
93.974047,78.966089,false
93.510507,78.467475,false
93.045115,77.968513,false
92.577919,77.469255,false
92.108964,76.969750,false
91.638299,76.470048,false
91.165971,75.970199,false
90.692025,75.470253,false
90.216511,74.970260,false
89.739475,74.470270,false
89.260965,73.970333,false
88.781028,73.470499,false
88.299714,72.970817,false
-8.313683,72.471339,true
87.333144,71.972114,false
86.847985,71.473191,false
86.361641,70.974621,false
85.874160,70.476454,false
85.385593,69.978739,false
84.895987,69.481526,false
84.405391,68.984865,false
83.913855,68.488805,false
-49.519375,-7.203848,true
82.928157,67.498689,false
82.434095,67.004731,false
81.939289,66.511573,false
81.443789,66.019263,false
80.947644,65.527852,false
80.450905,65.037388,false
79.953621,64.547920,false
79.455842,64.059498,false
78.957617,63.572169,false
78.458996,63.085983,false
77.960029,62.600989,false
77.460766,62.117234,false
76.961257,61.634768,false
76.461553,61.153638,false
75.961701,60.673893,false
75.461754,60.195581,false
74.961761,59.718748,false
74.461771,59.243444,false
73.961835,58.769716,false
73.462003,58.297611,false
72.962325,57.827176,false
72.462851,57.358458,false
71.963630,56.891504,false
71.464713,56.426361,false
70.966150,55.963076,false
70.467989,55.501694,false
69.970282,55.042262,false
69.473078,54.584826,false
68.976427,54.129431,false
68.480378,53.676123,false
67.984981,53.224948,false
67.490286,52.775950,false
66.996341,52.329174,false
66.503197,51.884666,false
66.010902,51.442469,false
65.519507,51.002628,false
65.029059,50.565187,false
64.539609,50.130189,false
64.051204,49.697678,false
63.563895,49.267697,false
63.077729,48.840289,false
62.592755,48.415497,false
62.109022,47.993364,false
61.626578,47.573932,false
61.145472,47.157242,false
60.665750,46.743336,false
60.187463,46.332256,false
59.710656,45.924042,false
59.235379,45.518737,false
58.761677,45.116379,false
58.289600,44.717010,false
57.819194,44.320668,false
57.350505,-76.661067,true
56.883582,43.537229,false
56.418471,43.150210,false
55.955217,42.766375,false
55.493868,42.385764,false
55.034469,42.008414,false
54.577067,41.634363,false
54.121708,41.263648,false
53.668436,40.896308,false
53.217297,40.532377,false
52.768337,40.171894,false
52.321599,39.814893,false
51.877130,18.778668,true
51.434973,39.111482,false
50.995172,38.765142,false
50.557772,38.422426,false
50.122816,38.083367,false
49.690347,37.748000,false
49.260410,37.416358,false
48.833046,37.088475,false
48.408299,36.764383,false
47.986212,36.444114,false
47.566825,36.127701,false
47.150182,35.815175,false
46.736324,35.506567,false
46.325293,35.201909,false
-12.960190,34.901230,true
45.511872,34.604562,false
45.109565,34.311933,false
44.710247,34.023372,false
44.313958,-81.027144,true
43.920737,33.458573,false
43.530624,33.182390,false
43.143658,32.910390,false
42.759878,32.642598,false
42.379322,32.379042,false
42.002028,32.119747,false
41.628033,31.864741,false
41.257376,31.614049,false
40.890093,31.367695,false
40.526221,31.125704,false
40.165796,30.888100,false
39.808855,30.654908,false
39.455432,30.426150,false
39.105564,30.201849,false
38.759286,29.982029,false
38.416632,29.766710,false
38.077635,29.555914,false
37.742332,29.349663,false
37.410753,29.147976,false
37.082934,28.950875,false
36.758907,28.758379,false
36.438703,28.570507,false
36.122356,28.387277,false
35.809896,28.208709,false
35.501355,28.034820,false
35.196765,27.865628,false
34.896154,27.701149,false
34.599554,27.541400,false
34.306994,27.386396,false
34.018503,27.236154,false
33.734110,27.090689,false
-75.777593,26.950014,true
33.177732,26.814144,false
32.905802,26.683093,false
32.638082,26.556873,false
32.374598,26.435497,false
32.115377,26.318978,false
31.860444,26.207327,false
31.609825,26.100556,false
31.363545,25.998674,false
31.121628,25.901692,false
30.884099,25.809620,false
30.650982,25.722467,false
30.422300,25.640242,false
30.198075,25.562953,false
29.978331,25.490607,false
29.763089,25.423213,false
29.552370,25.360775,false
29.346196,25.303302,false
29.144588,25.250799,false
-29.374428,2.653831,true
28.755147,25.160721,false
28.567353,25.123156,false
28.384203,-38.045153,true
28.205714,25.062992,false
28.031905,25.040399,false
27.862793,25.022802,false
27.698394,25.010202,false
27.538725,25.002602,false
-69.961957,-20.739056,true
27.233642,25.002400,false
27.088257,25.009799,false
26.947664,25.022197,false
26.811876,25.039593,false
26.680907,25.061984,false
26.554769,25.089370,false
26.433476,25.121746,false
26.317040,25.159110,false
-5.336703,-66.404895,true
26.098783,25.248787,false
25.996984,25.301090,false
25.900086,25.358363,false
25.808098,25.420600,false
25.721028,25.487795,false
25.638887,25.559941,false
25.561682,25.637031,false
25.489420,25.719058,false
25.422110,25.806012,false
25.359757,25.897886,false
25.302368,25.994670,false
25.249949,26.096355,false
25.202505,26.202930,false
25.160041,26.314384,false
25.122560,26.430707,false
25.090068,26.551887,false
-74.899389,16.303305,true
25.040058,26.808768,false
25.022546,26.944444,false
25.010031,27.084926,false
-39.235170,-18.565755,true
25.000000,27.380249,false
-35.523672,27.535060,true
25.009968,27.694619,false
25.022451,27.858907,false
25.039932,28.027910,false
25.062408,-30.167057,true
25.089878,28.379990,false
25.122340,28.563032,false
25.159789,28.750717,false
25.202222,28.943027,false
-15.872695,-20.449203,true
25.302022,29.341445,false
25.359379,29.547513,false
25.421701,29.758126,false
25.488980,29.973263,false
25.561210,30.192903,false
25.638385,30.417023,false
25.720495,30.645602,false
25.807533,30.878616,false
25.899490,31.116042,false
25.996358,31.357856,false
26.098126,31.604035,false
26.204783,31.854553,false
26.316321,32.109386,false
26.432726,32.368508,false
26.553989,32.631893,false
26.680096,32.899515,false
26.811035,33.171346,false
26.946792,33.447361,false
27.087355,33.727531,false
27.232710,34.011828,false
27.382840,34.300223,false
27.537733,34.592689,false
27.697372,34.889195,false
-29.341046,35.189713,true
28.030824,35.494211,false
28.204603,35.802660,false
28.383062,36.115029,false
28.566183,36.431286,false
-33.968195,-25.504838,true
28.946336,37.075339,false
29.143330,37.403070,false
29.344910,37.734561,false
29.551055,38.069778,false
29.761745,38.408689,false
29.976959,38.751258,false
30.196675,39.097453,false
30.420871,-68.139021,true
30.649526,39.800577,false
30.882615,40.157437,false
31.120116,40.517781,false
